gene,mean_log1p,variance,morans_i
Igha,3.9884071407951556,19.521483367015286,0.7834678943907712
Defa5,6.665269987247245,14.976649667653007,0.2122601856514748
Itln1,1.472276568461637,8.903412336313211,0.006800741665523073
Usp22,0.0,0.0,
Usp25,0.0,0.0,
Usp3,0.0,0.0,
Usp32,0.0,0.0,
Usp47,0.0,0.0,
Usp50,0.0,0.0,
Usp54,0.0,0.0,
Usp7,0.0,0.0,
Utp25,0.0,0.0,
Utrn,0.0,0.0,
Uts2,0.0,0.0,
Uts2b,0.0,0.0,
Vamp2,0.0,0.0,
Vamp3,0.0,0.0,
Vangl1,0.0,0.0,
Vangl2,0.0,0.0,
Vasp,0.0,0.0,
Vat1,0.0,0.0,
Vav1,0.0,0.0,
Vav2,0.0,0.0,
Vax1,0.0,0.0,
Vax2,0.0,0.0,
Vcam1,0.0,0.0,
Vcan,0.0,0.0,
Vcl,0.0,0.0,
Vcp,0.0,0.0,
Vdac1,0.0,0.0,
Vdac2,0.0,0.0,
Vdr,0.0,0.0,
Vegfa,0.0,0.0,
Vegfb,0.0,0.0,
Vegfc,0.0,0.0,
Vegfd,0.0,0.0,
Vgll2,0.0,0.0,
Vhl,0.0,0.0,
Vil1,0.0,0.0,
Vip,0.0,0.0,
Vipas39,0.0,0.0,
Vipr1,0.0,0.0,
Vipr2,0.0,0.0,
Virma,0.0,0.0,
Vit,0.0,0.0,
Vldlr,0.0,0.0,
Vps13a,0.0,0.0,
Vps25,0.0,0.0,
Vps26b,0.0,0.0,
Vps28,0.0,0.0,
Vps51,0.0,0.0,
Vps54,0.0,0.0,
Vps72,0.0,0.0,
Vps9d1,0.0,0.0,
Vsig1,0.0,0.0,
Vsir,0.0,0.0,
Vstm2a,0.0,0.0,
Vstm4,0.0,0.0,
Vstm5,0.0,0.0,
Vsx1,0.0,0.0,
Vsx2,0.0,0.0,
Vtcn1,0.0,0.0,
Vtn,0.0,0.0,
Vwa8,0.0,0.0,
Vwc2l,0.0,0.0,
Vwf,0.0,0.0,
Vxn,0.0,0.0,
Wap,0.0,0.0,
Wapl,0.0,0.0,
Was,0.0,0.0,
