gene,mean_log1p,variance,morans_i
CLIC6,4.309885871093295,7.491445312589072,0.5662779303025215
SERPINA3,4.260949924070491,8.115646104551807,0.5532217229768295
GATA3,4.679374972255158,7.314632663786885,0.5472818584825082
MYBPC1,3.5395844620853922,8.057492855600659,0.5217295551805825
PGR,3.419742354091522,7.481431468051184,0.4842315614711957
KRT14,0.3640854593516681,1.856664184510262,0.48238823491521005
ANKRD30A,3.550871838124581,8.463576145308421,0.47992329445118276
LUM,3.008933411271206,9.538677573761005,0.4666454335976022
FOXA1,3.09254105691924,7.1369128076612505,0.4489458620736254
SFRP1,0.49497914221832695,2.369145647775197,0.4431273026063742
MLPH,2.946190487240363,7.5216140550944655,0.44172417083577264
SFRP4,1.519151905508488,6.272020081995403,0.4230700466360773
TPD52,4.143442587473313,6.717275783179737,0.42105736243143205
FASN,2.9331523955278604,7.099726164599371,0.419889653568459
POSTN,2.8098485247960228,9.054099163715993,0.4090414839030159
MYH11,0.38421597258360823,1.9193943783455834,0.4073883893435327
EPCAM,3.1067729230840437,6.954597066174566,0.40567847792463607
TACSTD2,3.228112059572241,7.215413156058938,0.40448293475237046
PTN,0.4758349517678397,2.2637686809338335,0.39978436018315067
CCDC80,1.8773820304677773,6.832222981785181,0.39460192679179695
KRT5,0.2086336724241268,1.0334044633019313,0.38079809944555426
FLNB,3.8643687034672403,6.964219799594355,0.3802388968821077
S100A14,3.0602588034765605,6.998259518034718,0.3739686433242154
LYZ,1.4603427248179435,5.998874226580521,0.3715381978214286
DSP,2.8155073233221377,6.731620961635439,0.3616335321533448
PTPRC,1.0020479137424907,4.440834020088767,0.3547498635973259
CXCL12,2.38218697406871,7.585799702276186,0.35452166280499714
MMP2,1.5955334044104712,5.918818364949434,0.3368677327658271
ERBB2,2.8433865148204247,6.63393223665831,0.30941050157805444
MYLK,0.9506795625942785,4.09064872470226,0.30473623059388893
ESR1,2.2466984397694483,6.3187108583073925,0.3032507427397614
AQP3,1.8239912019091,5.919119458536855,0.2978504809276228
ZEB2,1.354579279473102,5.131640223981897,0.29684636813056803
CD3E,0.5180575007931373,2.5778891330359683,0.29638561677613046
KRT8,3.1440976711723536,6.559580960369521,0.2834975658679574
ACTA2,2.8505701552180223,7.623846647866102,0.27478277116305644
FBLN1,1.1114642946608504,4.426010224696618,0.27154115458782935
MS4A1,0.2180266801035612,1.1957660501859724,0.27099717571568527
BANK1,0.24440012994674243,1.2426745042822276,0.26978117572044974
FCER1G,1.2787066934665599,5.189570971482287,0.26475452704448305
AQP1,0.8636840195180874,3.9316954711612047,0.26235869334996365
KRT7,1.516509981980866,5.205365132467887,0.2610169200018154
IL7R,0.31514152807929624,1.6062758819844773,0.2586606789433436
AGR3,1.8031263347304949,5.520793379730718,0.2534211368003297
PDGFRA,1.0889372818814766,4.390323681171852,0.2497367981304051
CD4,0.8789897109259017,3.7500338239276423,0.24579175212247006
IL2RG,0.35685180104940745,1.694471346107871,0.2405573712204107
CAV1,0.9231546804536136,3.8592607720357743,0.23787842848548074
ABCC11,1.2263875443516354,4.582502172350184,0.23163185674061418
AIF1,0.8911747595148434,3.7232092136779587,0.22877614380713296
GJB2,0.8028025608497933,3.409605422669553,0.22723056084962168
PDGFRB,1.135850498090093,4.585929274538953,0.22637206908736132
CCL5,0.3402597048216201,1.6946976362784203,0.22298306251483724
ENAH,3.6806128159133094,5.956088006142245,0.22099190442454172
IGF1,0.5435471229383319,2.3425601612233096,0.2205257769158654
CXCR4,0.7605604606682267,3.381373157349421,0.22027320235638814
LRRC15,0.7399211252415496,3.09723982750126,0.22025530431715704
PECAM1,0.737704676592993,3.34107159463911,0.21723936432871513
S100A4,0.9429511851169314,3.798398067366898,0.21619410921702717
PTGDS,0.20087856506487814,0.9596080473294324,0.21511030307484746
FGL2,0.7645927989384246,3.3372239452635895,0.2117147494891716
CD93,0.6011878306947303,2.775412034002769,0.20754908604798908
VWF,0.43297681577118485,2.1673593235671076,0.20154556333381407
CDH1,1.5714469787775107,4.995368230949339,0.20046472293812756
CEACAM6,0.6714084329692758,2.693244126202976,0.20001517686033085
DST,1.7709727708884266,5.801832545240237,0.19921641023296555
GPR183,0.3704057799935605,1.7292309653296634,0.1988643868105254
SELL,0.28669847963505213,1.3644068512572747,0.19573237414927655
BASP1,0.8015884615756815,3.235060547577236,0.19323187716100482
KIT,0.274895820236816,1.2989222948817254,0.192731099341244
DPT,0.5691872287850621,2.407854199228747,0.19086218912087652
GZMA,0.2577739050111377,1.3213626760377526,0.18595325958496875
SCD,1.448146999689328,4.911138593149143,0.18501461669903685
CD163,0.3336915928188566,1.5528303582104548,0.181862933891938
MRC1,0.3200459949222132,1.5069611338683953,0.17671075113339924
CRISPLD2,0.8085284288177566,3.293251121134983,0.17588465065874065
MYO5B,1.5391678469491261,4.909562382499295,0.17380850274872353
CD8A,0.34722460763390994,1.7498365932163564,0.17373819992978295
ZEB1,0.8900053316207933,3.5364457028789196,0.1726683364194982
CLEC14A,0.2729665536570375,1.3683964241640851,0.1711032800016873
SERHL2,0.43231810209792104,1.823243422141787,0.17086006308179194
FCGR3A,0.5394195996949818,2.4100099891906397,0.1696968950945676
CD14,0.6582600852843945,2.8833586519074457,0.16836609358371807
LDHB,0.7519686599970627,3.0626945734654045,0.1679247166364234
CD68,0.8397105372389999,3.4345337007103094,0.16515203940292011
LPL,0.2009629529581074,0.939338852972879,0.1638640357509665
TCIM,0.6866250481397974,2.9892453205019534,0.1627840574641092
APOC1,0.38612575180014785,1.7437270599782493,0.16278168470127724
SLC5A6,1.6568688894209964,5.11266835606827,0.1587640826517545
RUNX1,4.052690215468176,5.633073603739181,0.15850322113977428
IGSF6,0.510405324454723,2.260040168596519,0.15798394064973995
TCF4,0.7957630847224427,3.1976219613427737,0.15574111472710594
TMEM147,2.657013359339536,6.114858179897565,0.15463985257803384
CCND1,3.0536546970370773,6.4824242112298105,0.15441362385439214
GLIPR1,0.8744573717958211,3.4919302449615093,0.15418829837626424
ITM2C,0.7989394046628229,3.2681274688936788,0.14881627453141222
FCER1A,0.22439580754135596,1.0926920265328008,0.14862730418998024
CYTIP,0.29433541857546086,1.3576025888438752,0.14595885100221723
TRAC,1.0289304049351533,4.028926757624355,0.14517111506518862
C1QA,0.34828414015441667,1.5722674853684382,0.14206967855041389
C1QC,0.44180025565190423,1.975217602286163,0.14111423431670272
CD3G,0.2110328881993387,1.0243342252199408,0.140299339711059
PCLAF,0.7036860953716237,2.860816561874617,0.1384668547214669
CD69,0.21318992124796313,1.0389804854229496,0.13512387685069027
SLAMF7,0.2436816939761325,1.170443373147942,0.13291004663035905
KDR,0.24821705863691176,1.2228981398931056,0.13235440930099132
RAMP2,0.362285451961849,1.6597003482255435,0.12870965002528847
MMRN2,0.21893091568807574,1.0276672864577634,0.12736210318794788
EGFR,0.3788577223543647,1.6424894851766494,0.12547246067268591
SERPINB9,0.431788271250024,1.8848718477117814,0.11637320798421633
CD247,0.1957559934064761,0.9451301651665133,0.1136878089831657
ANGPT2,0.19346450940772408,0.9026721220126973,0.11115109756626991
CX3CR1,0.39510943392481845,1.8047701685753101,0.10603168251773074
TOP2A,0.4875848645896566,2.0661014534248996,0.10598710610916716
HAVCR2,0.45751561914388894,2.0156520390795607,0.10594258221845926
ACTG2,0.845815646779772,3.283205331483989,0.10408210336344415
CD83,0.3811430219642615,1.7380630098917997,0.10305260221353908
LARS,2.674866345355946,6.0479017041757,0.10239061471285037
MNDA,0.3613419580404432,1.609297010963328,0.10129064122204408
RAB30,1.4885402875211424,4.771217189516969,0.10069781748815888
ADGRE5,0.3648121808717262,1.6257730720397727,0.09998714336726874
PDK4,0.4027305493796799,1.719297659620578,0.09936670793916767
CENPF,0.44194381703021973,1.8617201701588215,0.09776236329833574
ITGAX,0.34958260546190745,1.6262256733117213,0.09461062889790245
TRIB1,1.0937291380693428,3.9293549446685807,0.09214548734908311
CD86,0.333234967793514,1.487242964863511,0.09170860021508762
LPXN,0.5931115655438277,2.461679802173335,0.09152660977025578
DSC2,0.9272247860897646,3.4351648971848983,0.09053663549896485
NOSTRIN,1.0514444308399413,3.7127558850996403,0.09008300768701302
NARS,2.66707362869446,5.9739585011739225,0.08804948898932981
SVIL,1.015837997696325,3.7635824941773373,0.08783979707156768
S100A8,0.25724354166119906,1.1103353314620532,0.08673296346347896
PRDM1,0.35050746129818616,1.5351161639834812,0.08525057264855836
KRT23,0.29024372945232485,1.2383922029408096,0.08099597918814723
SRPK1,1.646596013258391,4.985433273565872,0.07867529005367703
CCDC6,2.1767791898357443,5.707535331684179,0.07857235092702612
SSTR2,0.36017497726778136,1.475669114055856,0.07756104767782045
TFAP2A,0.7133626588484706,2.7040721228363274,0.07700370740279822
SEC11C,1.588825702747577,4.953431186555065,0.07607887769165672
LYPD3,0.571187153713572,2.2283552112387044,0.07595378564540312
SQLE,1.167901529827776,3.98904949022707,0.07592899006201621
CD9,1.489329972334172,4.728933622005611,0.07462028374191618
PIM1,0.2981247008402212,1.2998611633003512,0.0737947157017229
EIF4EBP1,0.981696281821268,3.501603801226669,0.0735725151191268
BACE2,0.5802897145044854,2.3460812163602327,0.07275151321279424
PPARG,0.27976495141463065,1.214283158849348,0.07265623670731415
CTTN,2.7277449550951323,5.951487221340696,0.0698297281916773
ADAM9,2.258664885271556,5.780045002434331,0.06936823907162927
AR,0.5084912780687505,2.0076909247815515,0.06661652234568873
OCIAD2,1.104859956280039,3.834759815709462,0.06236297495192465
ERN1,1.4274472208506872,4.650016241074814,0.05985621675905936
ALDH1A3,0.36284033345933636,1.5327826068240915,0.058590723445023196
HOOK2,0.9016137606072158,3.2387969177473246,0.05839899682221488
TRAF4,0.9717782324154435,3.442836705236161,0.057508846089419516
SMS,1.973377942515297,5.4746853251273455,0.05685531527900082
FAM107B,2.3098670692477117,5.932140175369894,0.05653177280646332
TENT5C,0.5438645718500646,2.185402284637007,0.05484851857229711
HMGA1,1.1961638836438249,4.103399701087161,0.05140972338554976
MKI67,0.21320040375510324,0.9135146104548957,0.05139189251662805
MAP3K8,0.4588942368580977,1.8786939660339674,0.05053367828021204
SMAP2,0.8789111381195237,3.3090429528342358,0.049611620516160464
RHOH,0.658008651703549,2.545078554143179,0.04951242570459651
DNAAF1,0.3254841160471449,1.3222368908170254,0.04838571993445596
HOXD8,0.5388780257716852,2.1626223844902523,0.04720060950590113
SH3YL1,1.0394471316979563,3.646222039847471,0.046013783036722995
TOMM7,4.040607810607715,5.030560414231196,0.04528395712128096
SLC25A37,0.6750040125629694,2.5843805089988563,0.04455220239065175
ITGAM,0.38107908829225395,1.6275135529022893,0.04319311488792856
CXCL16,1.1481933975623586,4.028395375624652,0.0425876314973117
MDM2,2.426127909860072,5.930643652022432,0.04175109589893336
KLF5,0.4864108381934733,1.925162814647269,0.04110815154722059
FSTL3,0.6613566615332218,2.5285923691599015,0.040086535108311276
C6orf132,0.48816785897564846,1.9140535501746552,0.03952196680966374
ZNF562,1.481874874200625,4.644423130428237,0.03920157260219057
TRAPPC3,2.0148791222277724,5.472110059099998,0.03772643660208884
SDC4,0.5114830590317152,2.02610682819768,0.03729579417376677
USP53,1.3405641598023454,4.383826829340764,0.036646473598346926
DUSP5,0.49182991214919136,1.9648473615188402,0.03393172451650718
CCPG1,1.660774278514262,5.067403475441396,0.033731265885390486
KARS,0.34299154801949955,1.4364944180562393,0.03297418558763894
QARS,1.6272520721176518,4.907959433940272,0.03280495690066153
VOPP1,1.6394983467554174,4.972436344124267,0.031481388325463704
JUP,0.6201271085356312,2.3979546109006034,0.03063653978824235
WARS,0.8336846855645658,3.0779007619587797,0.026189317759638557
LGALSL,0.44630809937947424,1.7854483477136367,0.02556888107920545
APOBEC3B,0.2888233890188506,1.2346946472212332,0.025128851395346142
PTRHD1,0.668008537890599,2.5422785706456215,0.022874208269291325
DAPK3,0.5174864359885609,2.028145298299082,0.0222351548799221
PDE4A,0.4053651517535105,1.6547038025031264,0.020611451566469485
SEC24A,1.2207472820617948,4.073188664349297,0.02037195097554643
RORC,0.24890883667855646,1.0360342237957636,0.02010920003273263
TUBA4A,0.5897979308441805,2.330769499725907,0.018844147022876272
RTKN2,0.34173185684100954,1.4169304632501545,0.018776753558514755
THAP2,0.5488456145445172,2.1449784144133703,0.01779467652434256
CTH,0.2564340954373191,1.0587921033317416,0.01727553637686088
TIFA,0.4386914640936281,1.7872909188204993,0.016819174113529133
ANKRD28,0.6276070618997348,2.413426366994975,0.01296392928241231
PELI1,0.557046229209288,2.201899993949842,0.012631642538288062
CDC42EP1,0.24302161892294236,1.0108712586532527,0.010712757345812635
DNTTIP1,0.7013321580273263,2.6570522163584145,0.009721201388999148
