,annotation_score,annotation_score,annotation_score,annotation_margin,annotation_margin,annotation_margin
,count,median,mean,count,median,mean
cell_type,,,,,,
B_cell,22039,2.738430979155641,2.9427068143439223,22039,2.5778403030927453,2.371823725116763
Basal_tumor,1588,2.3125359189459838,2.2889854293448724,1588,1.8706441905479931,1.7469336013432164
Cycling,17321,1.0178773692012344,1.189809829541347,17321,0.8551164002467657,0.9369071049453427
Dendritic,7227,1.2846713978071547,1.4008545827562646,7227,1.2284120082753565,1.1423858906741404
Endothelial,15196,1.6683133649490416,1.89238139941492,15196,1.5318386299145754,1.483647457048381
Fibroblast,40762,5.0734858835418,5.0042669993685625,40762,3.1962708458370663,3.5051998030544955
Luminal_tumor,39924,1.3138932903068552,1.4693982114275321,39924,1.2057218308375415,1.2033793191374607
Macrophage,30290,2.6931442139104473,2.8797589105650365,30290,1.958316751209132,1.9889877609466953
Myeloid,29330,4.8871782971861695,4.849936117281561,29330,3.0264175794107278,3.3132979487644727
Myoepithelial,11927,2.3939442447322485,2.580091495480035,11927,1.8452203673404444,1.8858470486693715
Myofibroblast,24227,2.720959999989982,2.8861174791586093,24227,2.051937976192167,1.9648214214840927
NK_cell,2590,1.6808106893927515,1.6875252448303455,2590,1.4287119290596264,1.2678718459256746
Pericyte,7252,1.212190369471964,1.295919854985263,7252,1.1488789724359316,1.0854521900348608
Plasma_cell,6499,2.4773677043034144,2.5533148966847006,6499,1.9490551225690647,1.8585790217044313
T_cell,68554,1.2242991004322707,1.6504655167640918,68554,1.1909680919603935,1.527808609785328
Unresolved,179757,0.0,0.16264069282872126,179757,0.0,4.918462104292309e-06
