cluster,B_cell,Basal_tumor,Cycling,Dendritic,Endothelial,Fibroblast,Luminal_tumor,Macrophage,Myeloid,Myoepithelial,Myofibroblast,NK_cell,Pericyte,Plasma_cell,T_cell,Unresolved
0,0.013588463671658347,0.003050471436494731,0.16084303937881309,0.00596228508042152,0.016823812164910336,0.03882418191902385,0.3436864485117397,0.030088740987243484,0.026483638380476984,0.026945831022370123,0.025281937511554817,0.0037437603993344427,0.014697726012201887,0.01904233684599741,0.01372712146422629,0.257210205213533
1,0.05162724784988272,0.0013438232994526975,0.002198983580922596,0.005570758405003909,0.005741790461297889,0.03708952306489445,0.002052384675527756,0.05148064894448788,0.04713154808444097,0.007305512118842846,0.022844996090695856,0.0063526192337763875,0.003518373729476153,0.008722634870992963,0.6723758795934324,0.07464327599687255
10,0.014677453998711247,0.006944941648170688,0.07481921672513782,0.00579938426290542,0.018901696856876923,0.045679100737452565,0.43638576644948807,0.026849001217154722,0.020906422281091144,0.05964058137037302,0.017827736808190737,0.004439034867902914,0.012887520584234266,0.010453211140545572,0.01267272857449703,0.23111620247726786
11,0.06083576823419152,0.002880533656761674,0.012638513699762943,0.016662991344616573,0.025042725618832352,0.046364187661943876,0.007800871051325872,0.048211036992116436,0.041181983571310435,0.013493026076409946,0.01769667567120569,0.005485418159766249,0.012900380395832184,0.01218369259606373,0.059650476873036,0.6169717183968245
12,0.00872093023255814,0.0047093023255813955,0.009883720930232558,0.0031395348837209304,0.3997093023255814,0.05715116279069767,0.003430232558139535,0.027906976744186046,0.03959302325581395,0.06348837209302326,0.05488372093023256,0.0012209302325581395,0.08523255813953488,0.00622093023255814,0.017034883720930233,0.21767441860465117
13,0.005766136241730735,0.00017879492222420883,0.00263722510280708,0.07835687466475952,0.02065081351689612,0.03821741462542464,0.0013856606472376185,0.368988020740211,0.27565707133917394,0.00263722510280708,0.009029143572322547,0.0016985517611299839,0.0019220454139102449,0.0037099946361523334,0.015689254425174326,0.17347577328803862
14,0.00833998403830806,0.009497206703910615,0.005426975259377494,0.008419792498004789,0.02916999201915403,0.37613727055067836,0.0025139664804469273,0.023782920989624902,0.021388667198723066,0.060135674381484434,0.05941739824421389,0.0015562649640861932,0.0412609736632083,0.004349561053471668,0.017837190742218675,0.3307661612130886
15,0.005308392315470172,0.0026857937310414562,0.04777553083923155,0.005150404448938321,0.011880687563195146,0.014850859453993934,0.08717770475227503,0.02774266936299292,0.019400910010111225,0.028311425682507583,0.017157482305358948,0.002338220424671385,0.0086577350859454,0.005845551061678463,0.02647876643073812,0.6892378665318504
16,0.01888640179071069,0.004546726357022943,0.1967683268047006,0.004476776720761052,0.013850027979854504,0.06470341354224958,0.4109541130386122,0.029099048684946838,0.03553441522104085,0.03567431449356463,0.022243984331281476,0.0030078343592613316,0.01021264689423615,0.023642977056519306,0.009653049804141018,0.11674594292109682
17,0.008834400072117552,0.0005408816370684216,0.0050482286126386005,0.05679257189218426,0.016406742991075453,0.04146759217524565,0.002433967366807897,0.31280988010457045,0.40304696655548544,0.006670873523843866,0.02533129000270441,0.0022536734877850895,0.001532497971693861,0.004507346975570179,0.022536734877850895,0.08978635175335797
2,0.008796590187721049,0.004715697832592727,0.00426226534868958,0.0038088328647864333,0.016414255917293914,0.28271515371361206,0.0028112814001995104,0.020993924004715697,0.03205767661195248,0.032601795592636255,0.28702276231069196,0.0011789244581481817,0.02684320304706629,0.004216922100299265,0.02756869502131133,0.24399201958828332
3,0.00918957129194561,0.005821447877250614,0.08382884943240883,0.005821447877250614,0.016466381138508877,0.02528171649548838,0.26475113310324755,0.028774585221838747,0.022495737868518443,0.04831801738118009,0.020250322258721778,0.002203833839244875,0.01284876710050314,0.007942118175391907,0.019792922782652086,0.4262131481558485
4,0.06029750309899062,0.001328138834779529,0.003895873915353285,0.007614662652735966,0.0069063219408535504,0.03087184935954194,0.0023021073136178503,0.05226964169765657,0.04285461306888613,0.00720146390413789,0.020689451626232216,0.008263974971961513,0.003689274541054247,0.011481022371760817,0.5749070302815654,0.16542707042087243
5,0.004023299105266318,0.0035429051822494445,0.0011409355671650754,0.0012009848075421846,0.002401969615084369,0.42184591364919233,0.0004203446826397646,0.0162733441421966,0.04569747192698012,0.023659400708581038,0.3905002101723413,0.00030024620188554615,0.0074461058067615445,0.0021617726535759323,0.007986548970155528,0.07139854680838287
6,0.14069870283018868,0.002321639150943396,0.01761497641509434,0.02822818396226415,0.01953125,0.06706957547169812,0.004790683962264151,0.0640846108490566,0.10178360849056604,0.015367040094339623,0.04274764150943396,0.019236438679245283,0.009139150943396226,0.05745135613207547,0.17563384433962265,0.23430129716981132
7,0.016862029208301307,0.003939277478862414,0.07801691006917756,0.008358954650269024,0.018207148347425057,0.03655841660261337,0.2974154496541122,0.026085703305149886,0.022963105303612605,0.03574173712528824,0.018687548039969255,0.004852036894696387,0.017006149116064566,0.014027671022290546,0.020272867025365102,0.38100499615680244
8,0.10906411201179071,0.002210759027266028,0.010685335298452468,0.017317612380250553,0.02184659788749693,0.05135408990420044,0.004252640628838123,0.05258228936379268,0.051323384917710636,0.01162183738639155,0.020986858265782362,0.007722304102186195,0.010040530582166543,0.016657455170719725,0.11300970277573077,0.49932449029722425
9,0.007958001749927087,0.0018749218782550727,0.08266322236573476,0.005624765634765218,0.013666097245948085,0.018457564268155494,0.15903504020665807,0.027498854214407734,0.021957418440898296,0.027415524353151952,0.02074913545268947,0.00245823090704554,0.011999500020832466,0.007624682304903962,0.02795716845131453,0.5630598725053123
