cell_type,count,median,mean
Myoepithelial,11927,0.0,0.0
Luminal_tumor,39924,40.11009470907767,46.77250476762256
Basal_tumor,1588,41.6269739364123,64.02407060410658
Cycling,17321,43.721523393268676,51.54292462199441
Pericyte,7252,46.78608924642278,62.61159476630154
T_cell,68554,49.09123787638788,56.736710987722695
Endothelial,15196,50.193623496717734,64.87306211943203
NK_cell,2590,50.46834585995163,60.47691851634157
Unresolved,179757,50.50607094531756,64.49733187966683
B_cell,22039,50.72581816502745,60.04747799478115
Plasma_cell,6499,52.134908388488476,60.450963571907415
Myeloid,29330,52.28484077212408,61.91159815288975
Macrophage,30290,53.13202436764837,64.69066151924436
Myofibroblast,24227,53.15698932680756,63.823352199576945
Dendritic,7227,54.03692304449682,66.4161354587412
Fibroblast,40762,59.1462207319491,81.40825436327852
